Testify,BYD,12,0
Designant,BYD,11.9,0
Tempestissimo,BYD,11.7,0
Arcana Eden,BYD,11.6,0
Aether Crest Astral,ETR,11.5,0
Pentiment,BYD,11.5,0
Lament Rain,BYD,11.4,0
Abstruse Dilemma,FTR,11.3,0
ALTER EGO,ETR,11.3,0
Arghena,FTR,11.3,0
Extradimensional Cosmic Phenomenon,ETR,11.3,0
Aegleseeker,FTR,11.2,0
PRAGMATISM -RESURRECTION-,BYD,11.2,0
Vicious [ANTi] Heroism,BYD,11.2,0
#1f1e33,FTR,11.1,0
Fracture Ray,FTR,11.1,0
Grievous Lady,FTR,11.1,0
World Ender,BYD,11.1,0
LAMIA,FTR,11,0
SAIKYO STRONGER,FTR,11,0
Undying Macula,ETR,11,0
And Revive The Melody,FTR,10.9,0
Breach of Faith,BYD,10.9,0
CHAOS,FTR,10.9,0
Code Oblivion,ETR,10.9,0
DAAT -The First Seeker of Souls-,FTR,10.9,0
Designant,FTR,10.9,0
Einherjar Joker,BYD,10.9,0
Infinite Strife,BYD,10.9,0
MEGALOVANIA (Camellia Remix),ETR,10.9,0
Misdeed -la bonte de Dieu et lorigine du mal-,FTR,10.9,0
Nhelv,BYD,10.9,0
TEmPTaTiON,FTR,10.9,0
Testify,FTR,10.9,0
ViRTUS,ETR,10.9,0
Vulcanus,FTR,10.9,0
Were All Gonna Die,ETR,10.9,0
Welcome Queen of Fiction,ETR,10.9,0
ANDORXOR,ETR,10.8,0
Black MInD,FTR,10.8,0
BUCHiGiRE Berserker,FTR,10.8,0
Dantalion,FTR,10.8,0
Desive,ETR,10.8,0
Distorted Fate,ETR,10.8,0
Divine Light of Myriad,FTR,10.8,0
GENOCIDER,FTR,10.8,0
Heavensdoor,BYD,10.8,0
Ii,FTR,10.8,0
Lilly,ETR,10.8,0
MARENYX,ETR,10.8,0
Meta-Mysteria,FTR,10.8,0
Nightmare,ETR,10.8,0
PRIMITIVE LIGHTS,FTR,10.8,0
Ringed Genesis,FTR,10.8,0
Spiders Thread,FTR,10.8,0
Stasis,FTR,10.8,0
TeraVolt,FTR,10.8,0
w4,FTR,10.8,0
AlterGate,FTR,10.7,0
AMAZING MIGHTYYYY!!!!,FTR,10.7,0
Cyaegha,FTR,10.7,0
Dont Fight The Music,ETR,10.7,0
Inverted World,ETR,10.7,0
KYOREN ROMANCE,FTR,10.7,0
NULL APOPHENIA,FTR,10.7,0
ouroboros -twin stroke of the end-,FTR,10.7,0
REKKA RESONANCE,FTR,10.7,0
Signal,ETR,10.7,0
Tempestissimo,FTR,10.7,0
World Vanquisher,FTR,10.7,0
Xterfusion,ETR,10.7,0
[X],FTR,10.6,0
Aether Crest Astral,FTR,10.6,0
Astral Quantization,FTR,10.6,0
AttraqtiA,FTR,10.6,0
Axium Crisis,FTR,10.6,0
Back to Basics,FTR,10.6,0
corps-sans-organes,FTR,10.6,0
Crimson Throne,FTR,10.6,0
cyanine,FTR,10.6,0
Dies irae,ETR,10.6,0
Extradimensional Cosmic Phenomenon,FTR,10.6,0
Good bye Merry-Go-Round,FTR,10.6,0
Lament Rain,FTR,10.6,0
Live Fast Die Young,FTR,10.6,0
Manic Jeer,FTR,10.6,0
MVURBD,FTR,10.6,0
Overwhelm,FTR,10.6,0
Purple Verse,BYD,10.6,0
Seclusion,FTR,10.6,0
Subsphere in Eclosion,ETR,10.6,0
trappola bewitching,BYD,10.6,0
UNKNOWN LEVELS,FTR,10.6,0
10pt8ion,ETR,10.5,0
Aleph 0,FTR,10.5,0
ALTER EGO,FTR,10.5,0
Arcana Eden,FTR,10.5,0
Aurgelmir,FTR,10.5,0
BlythE,ETR,10.5,0
CHAOSBLAST,ETR,10.5,0
Chronicle,FTR,10.5,0
Dull Blade,FTR,10.5,0
eden,FTR,10.5,0
Ego Eimi,FTR,10.5,0
GIMME DA BLOOD,FTR,10.5,0
GLORY ROAD,FTR,10.5,0
Halcyon,FTR,10.5,0
Judgement,FTR,10.5,0
Libertas,BYD,10.5,0
Lightning Screw,FTR,10.5,0
Lucid Traveler,FTR,10.5,0
MEGALOVANIA,ETR,10.5,0
overdead,BYD,10.5,0
Paranoid Arc,ETR,10.5,0
Rain of Conflict in a Radiant Abyss,ETR,10.5,0
Rise of the World,FTR,10.5,0
Sheriruth (Laur Remix),FTR,10.5,0
Singularity,FTR,10.5,0
Spirit of the Dauntless,FTR,10.5,0
Straight into the lights,ETR,10.5,0
Twilight Concerto,ETR,10.5,0
Wish Upon a Snow,FTR,10.5,0
XTREME,FTR,10.5,0
Xxium and Purple haze,ETR,10.5,0
Climax,FTR,10.4,0
Dual Dependency,ETR,10.4,0
Eternity Break,ETR,10.4,0
Felis,FTR,10.4,0
Garakuta Doll Play,FTR,10.4,0
IMPACT,BYD,10.4,0
INCARNATOR 00,ETR,10.4,0
Kissing Lucifer,FTR,10.4,0
Last Celebration,FTR,10.4,0
Lethal Voltage,FTR,10.4,0
Lethal Voltage,FTR,10.4,0
